r	b	si	so	bi	bo	in	cs	us	sy	id	wa	st
0	0	0	0	39	2	267	73	0	0	99	1	0
0	0	0	0	0	0	262	66	0	0	100	0	0
0	0	0	0	0	0	257	63	0	0	100	0	0
0	0	0	0	0	24	269	69	0	0	90	10	0
0	0	0	0	0	0	258	68	0	0	100	0	0
0	0	0	0	0	26	262	62	0	0	100	0	0
0	0	0	0	0	0	255	65	0	0	100	0	0
0	1	0	0	0	2	261	73	0	0	97	3	0
0	0	0	0	0	0	254	65	0	0	91	9	0
0	0	0	0	0	0	259	66	0	0	100	0	0
0	0	0	0	0	0	257	65	0	1	99	0	0
0	0	0	0	0	0	255	68	0	0	100	0	0
0	0	0	0	0	0	259	64	0	0	100	0	0
0	0	0	0	0	0	259	66	0	0	100	0	0
0	0	0	0	0	0	256	62	0	0	100	0	0
0	0	0	0	0	0	259	60	0	0	100	0	0
0	0	0	0	0	0	255	62	0	0	100	0	0
0	0	0	0	0	0	260	65	0	0	100	0	0
0	0	0	0	0	0	261	64	0	0	100	0	0
0	0	0	0	0	0	258	65	0	0	100	0	0
