 
192.168.1.9: 


r	b	si	so	bi	bo	in	cs	us	sy	id	wa	st
0	0	0	0	15	2	274	67	0	0	99	1	0
0	0	0	0	0	0	260	62	0	0	100	0	0
0	0	0	0	0	14	277	63	1	0	99	0	0
0	0	0	0	0	26	263	66	0	1	89	10	0
0	0	0	0	0	0	255	60	0	0	100	0	0
0	0	0	0	0	0	256	60	0	0	100	0	0
0	0	0	0	0	0	264	63	0	0	100	0	0
0	0	0	0	0	0	264	59	0	0	100	0	0
0	0	0	0	0	0	267	57	0	0	100	0	0
0	0	0	0	0	0	255	61	0	0	100	0	0
0	0	0	0	0	0	259	61	0	0	100	0	0
0	0	0	0	0	0	257	63	0	0	100	0	0
1	0	0	0	0	0	263	60	0	0	100	0	0
0	0	0	0	0	0	266	56	0	0	100	0	0
0	0	0	0	0	0	263	69	0	0	100	0	0
0	0	0	0	0	0	258	63	0	0	100	0	0
0	0	0	0	0	0	256	62	0	0	100	0	0
0	0	0	0	0	0	273	59	0	0	100	0	0
0	0	0	0	0	0	265	58	0	0	100	0	0
0	0	0	0	0	22	266	60	0	0	100	0	0


