r	b	si	so	bi	bo	in	cs	us	sy	id	wa	st
0	0	0	0	2436	163	364	586	4	9	29	58	0
0	0	0	0	0	0	278	66	0	0	100	0	0
0	0	0	0	0	92	278	65	0	0	100	0	0
0	0	0	0	0	122	283	82	0	1	87	13	0
0	0	0	0	0	0	289	66	0	1	99	0	0
0	0	0	0	0	0	266	58	0	0	100	0	0
0	0	0	0	0	0	267	61	0	0	100	0	0
0	0	0	0	0	0	267	66	0	1	99	0	0
0	0	0	0	0	0	279	61	0	0	100	0	0
0	0	0	0	0	0	280	61	0	0	100	0	0
0	0	0	0	0	0	294	59	0	0	100	0	0
0	0	0	0	0	0	275	60	0	0	100	0	0
0	0	0	0	0	120	295	65	0	0	96	4	0
0	0	0	0	0	0	291	63	0	0	100	0	0
0	0	0	0	0	0	292	74	0	1	99	0	0
0	0	0	0	0	0	272	59	0	0	100	0	0
0	0	0	0	0	0	275	76	0	0	100	0	0
0	0	0	0	0	6	276	70	0	1	81	18	0
0	0	0	0	0	0	286	63	0	1	99	0	0
0	0	0	0	0	0	281	64	0	1	99	0	0
